"Employee.ID","Designation","Type.of.Leave_Absent","Type.of.Leave_Casual Leave","Type.of.Leave_Casual Leave Confirmed COE","Type.of.Leave_Earned Leave","Type.of.Leave_Earned Leave Confirmed COE","Type.of.Leave_LWP","Type.of.Leave_Sick Leave","Leave.applied.for.no..of.days","Leave.Dates.From","Leave.Dates.to","Date.of.joining.the.company","Status.of.Leave_Absent","Status.of.Leave_Approved","Status.of.Leave_Rejected","Leave.Dates.From.Date","Leave.Dates.From.Month","Leave.Dates.From.Year","Leave.Dates.to.Date","Leave.Dates.to.Month","Leave.Dates.to.Year","From.my","To.my"
"VHR141","Trainee Dealer",0,0,0,1,0,0,0,3,2017-03-23,2017-03-27,2015-06-15,0,1,0,23,3,2017,27,3,2017,32017,32017
"VHR141","Trainee Dealer",0,0,0,1,0,0,0,1,2017-03-29,2017-03-29,2015-06-15,0,1,0,29,3,2017,29,3,2017,32017,32017
"VHR141","Trainee Dealer",0,0,0,0,0,1,0,8,2017-04-12,2017-04-21,2015-06-15,0,1,0,12,4,2017,21,4,2017,42017,42017
"VHR141","Trainee Dealer",0,0,0,1,0,0,0,1,2017-01-03,2017-01-04,2015-06-15,0,1,0,3,1,2017,4,1,2017,12017,12017
"VHR141","Trainee Dealer",0,0,0,0,0,1,0,1.5,2017-01-05,2017-01-06,2015-06-15,0,1,0,5,1,2017,6,1,2017,12017,12017
"VHR141","Trainee Dealer",0,0,0,0,0,1,0,1.5,2017-01-16,2017-01-17,2015-06-15,0,1,0,16,1,2017,17,1,2017,12017,12017
"VHR141","Trainee Dealer",0,0,0,0,0,1,0,3,2017-01-18,2017-01-20,2015-06-15,0,1,0,18,1,2017,20,1,2017,12017,12017
"VHR158","Trainee Dealer",0,0,0,1,0,0,0,2,2017-02-16,2017-02-17,2015-06-13,0,1,0,16,2,2017,17,2,2017,22017,22017
"VHR163","Trainee Dealer",0,0,0,1,0,0,0,0.5,2017-04-13,2017-04-13,2015-06-13,0,1,0,13,4,2017,13,4,2017,42017,42017
"VHR163","Trainee Dealer",0,0,0,1,0,0,0,1,2017-04-21,2017-04-21,2015-06-13,0,1,0,21,4,2017,21,4,2017,42017,42017
